@relation MMValenceResponse
@attribute blvalence real
@attribute blarousal real
@attribute vvalence real
@attribute varousal real
@attribute valence {-2,-1,0,1,2}

@data
-1,-1.666666667,0,1.333333333,-1
-1,-0.333333333,0,1.333333333,-1
-1,-2,0,0.333333333,-1
-1,-1,0,0.666666667,-1
-1,-0.333333333,0,1.333333333,-1
-1,-1,0,1.333333333,-1
-1,-1.333333333,0,1.666666667,-1
-1,-1.666666667,0,2,-1
-1,-1.333333333,0,1,-1
-1,-0.333333333,0,2,-1
-1,-0.666666667,0,0.666666667,-1
-1,-1,0,1,-1
-1,-1.666666667,0,2,-1
-1,-1,0,0.333333333,-1
-1,-1.666666667,0,1.666666667,-1
-1,0,0,2,-1
-1,-2,0,1,-1
-1,-1.333333333,0,1.666666667,-1
-1,-1.666666667,0,1.333333333,-1
-1,-1.666666667,0,1.666666667,-1
-1,-1.333333333,0,1,-1
-1,-1.333333333,2,0.333333333,-1
-1,-1.666666667,0,1.666666667,-1
-1,-1,0,1,-1
-1,-1.666666667,0,1.333333333,-1
-1,-1.333333333,0,1.666666667,-1
-1,-1,0,1,-1
-1,-0.666666667,0,2,-1
-1,-1.333333333,0,-0.333333333,-1
-1,-0.666666667,0,1.333333333,-1
-1,-1.333333333,0,1.333333333,-1
-1,-0.333333333,0,1,-1
-1,-1.333333333,0,0.333333333,-1
-1,-2,0,2,-1
-1,1.333333333,0,2,-1
-1,-1.333333333,0,1.666666667,-1
-1,-1.666666667,0,1.333333333,-1
-1,0.333333333,0,0.666666667,-1
-1,-1,2,1.666666667,-1
-1,-1,0,1.666666667,-1
-1,-1.333333333,0,0.333333333,-1
-1,-0.333333333,2,1.666666667,-1
-1,-1.333333333,0,2,-1
-1,-1.666666667,0,2,-1
-1,-1.333333333,0,1,-1
-1,-1.333333333,0,1.333333333,-1
-1,-0.666666667,0,1.333333333,-1
-1,-1.666666667,0,1,-1
-1,0,2,2,-1
-1,-1.666666667,0,1.333333333,-1
-1,-1.666666667,0,0.666666667,-1
-1,-0.333333333,0,1.333333333,-1
-1,1.333333333,0,1,-1
-1,-1,0,1,-1
-1,-1,0,2,-1
-1,-1,0,2,-1
-1,-2,0,2,-1
-1,-1.333333333,0,0.333333333,-1
-1,-0.333333333,2,1.333333333,-1
-1,-1.333333333,0,1.333333333,-1
-1,-0.666666667,2,1.666666667,-1
2,-0.666666667,0,1,-1
2,-1.333333333,0,1.333333333,-1
-1,-1.333333333,2,1.333333333,-1
-1,-1.666666667,0,1.666666667,-1
-1,-1,0,1,-1
-1,-1.333333333,0,1,-1
-1,-1,0,1.333333333,-1
-1,0,0,1,-1
-1,-0.333333333,0,1.333333333,-1
-1,-1.666666667,0,0.666666667,-1
-1,-0.333333333,0,2,-1
-1,-0.666666667,0,0.333333333,-1
-1,-1.666666667,0,1,-1
-1,-2,0,0.333333333,-1
-1,-1.333333333,0,0.333333333,-1
-1,-2,0,-0.666666667,-1
-1,-0.333333333,0,-0.333333333,-1
-1,-1.333333333,2,0,-1
-1,0.333333333,0,-0.333333333,-1
-1,0.333333333,1,1,-1
-1,0,1,0.333333333,-1
-1,2,1,0.333333333,-1
-1,0.333333333,1,-0.666666667,-1
-1,0.333333333,1,-0.333333333,-1
-1,0,1,0,-1
-1,0,1,-0.333333333,-1
-1,-0.333333333,1,-0.666666667,-1
-1,1,1,0,-1
-1,1.333333333,1,-1,-1
-1,1,1,1,-1
-1,1.333333333,1,-0.666666667,-1
-1,0.666666667,1,0,-1
-1,-0.666666667,1,0.666666667,-1
-1,0,1,0.666666667,-1
-1,1,1,1.666666667,-1
-1,-0.333333333,1,0,-1
-1,2,1,0.333333333,-1
-1,2,1,0,-1
-1,0.666666667,1,0.333333333,-1
-1,2,1,-1,-1
-1,0,1,1.333333333,-1
-1,2,1,0.666666667,-1
2,1,1,-0.666666667,-1
2,1,1,0.666666667,-1
-1,0,1,-0.666666667,-1
-1,0.666666667,1,1,-1
-1,0.333333333,1,1,-1
-1,2,1,0.333333333,-1
-1,0,1,1,-1
-1,1.333333333,1,0.666666667,-1
-1,1.333333333,1,0.333333333,-1
-1,-0.333333333,1,0,-1
-1,0.666666667,1,1,-1
-1,0.666666667,1,0,-1
-1,0,1,1,-1
-1,0.666666667,1,1,-1
-1,1.666666667,1,0,-1
-1,-0.333333333,1,0.333333333,-1
-1,1.333333333,1,0.666666667,-1
-1,0.666666667,1,-0.333333333,-1
-1,-1,1,0.333333333,-1
0,0.333333333,1,-0.333333333,0
0,0.333333333,1,0.666666667,0
0,0,1,-0.333333333,0
0,2,1,1.333333333,0
0,0.333333333,1,1,0
0,0.333333333,1,0,0
2,0,1,-0.333333333,0
0,0,1,0.666666667,0
0,-0.333333333,1,0,0
0,1,1,0,0
2,1.333333333,1,1,0
0,1,1,0.333333333,0
0,1.333333333,1,0.333333333,0
0,0.666666667,1,-0.333333333,0
0,-0.666666667,1,1,0
0,0,1,0,0
0,1,1,0,0
0,-0.333333333,1,0,0
-2,2,1,0.666666667,0
2,2,2,2,0
0,0.666666667,2,1.666666667,0
0,2,2,1.666666667,0
0,0,2,1.666666667,0
0,2,2,2,0
0,1,2,2,0
0,1,2,1.333333333,0
2,0,2,1.333333333,0
0,0.666666667,2,1.333333333,0
2,0.333333333,2,2,0
0,2,0,2,0
0,0,2,2,0
0,1.333333333,2,1.333333333,0
0,1.333333333,2,0.666666667,0
0,-0.333333333,2,0.666666667,0
0,0.666666667,0,1.333333333,0
0,0.666666667,2,2,0
0,0,2,2,0
0,0.666666667,2,2,0
2,1.666666667,2,2,0
0,-0.333333333,2,1.333333333,0
0,1.333333333,2,1.333333333,0
2,0.666666667,2,1.333333333,0
0,-1,2,2,0
0,-0.666666667,2,2,0
0,1.333333333,2,2,0
0,1.333333333,2,2,0
2,1.333333333,2,2,0
0,1,2,2,0
-1,-0.333333333,2,1.333333333,0
0,0,2,0.666666667,0
2,1.333333333,2,0,0
2,0.666666667,2,0.666666667,0
0,1,2,1.333333333,0
0,1.333333333,2,2,0
-1,-0.666666667,2,0.666666667,0
0,1.333333333,2,0.666666667,0
2,0.666666667,2,0.666666667,0
0,1.333333333,2,1.333333333,0
0,0,2,1,0
0,0,2,1,0
0,-1.333333333,2,1.666666667,0
0,0,2,2,0
2,1.333333333,2,2,0
0,0,2,2,0
0,0.666666667,2,2,0
0,2,2,2,0
2,0,2,2,0
2,1,2,2,0
0,1,2,2,0
0,2,2,1.333333333,0
0,1.333333333,2,1.333333333,0
-1,1.333333333,2,1.333333333,0
0,-0.666666667,2,2,0
0,0.333333333,2,1.333333333,0
0,-0.666666667,2,1.333333333,0
0,0.666666667,2,0.666666667,0
0,1.333333333,2,0.666666667,0
0,2,2,0.666666667,0
0,0,2,1,0
0,-0.666666667,2,1.666666667,0
0,0.666666667,2,1.666666667,0
0,-2,2,2,0
0,0,2,2,0
0,0.666666667,2,2,0
0,1.333333333,2,1.333333333,0
0,1.333333333,2,1.333333333,0
1,1,2,1.333333333,1
2,1.333333333,2,1.333333333,1
1,2,2,1,1
1,0,2,1,1
1,0.666666667,2,1.666666667,1
1,0.333333333,2,2,1
1,-1.333333333,2,2,1
1,0.666666667,2,1.333333333,1
1,2,2,1.333333333,1
1,0.666666667,2,1.333333333,1
-1,0,2,2,1
1,0.333333333,2,2,1
1,-0.333333333,2,2,1
1,-2,2,2,1
2,1.333333333,2,2,1
1,0,2,2,1
1,2,2,2,1
1,0.666666667,2,1.333333333,1
1,1.333333333,2,1.333333333,1
1,0.333333333,2,1.333333333,1
1,0.666666667,2,2,1
1,0.666666667,2,2,1
2,2,2,2,1
1,0.333333333,2,2,1
1,1.333333333,2,1.333333333,1
1,1.333333333,2,0.666666667,1
1,2,2,-0.333333333,1
1,1.333333333,2,0.333333333,1
1,0.666666667,2,0.333333333,1
1,-0.333333333,2,0.666666667,1
2,1.666666667,2,0.666666667,1
0,-0.333333333,2,0.666666667,1
1,1.333333333,2,1.333333333,1
1,0,2,1.333333333,1
1,-0.666666667,2,2,1
1,0.666666667,2,2,1
1,2,2,2,1
1,1.333333333,2,2,1
1,0,2,2,1
1,0.333333333,2,1.333333333,1
2,-0.666666667,2,1.333333333,1
1,0.666666667,2,1.333333333,1
1,0,2,1,1
1,0,2,1,1
2,-0.666666667,2,1,2
2,2,0,2,2
1,1.333333333,2,2,2
2,0.666666667,2,2,2
2,1,2,2,2
2,-0.666666667,2,2,2
2,-0.666666667,2,2,2
0,1.333333333,2,1.333333333,2
2,0,2,1.333333333,2
2,0.666666667,2,1.333333333,2
0,0.666666667,2,2,2
-1,1.333333333,2,1.333333333,2
2,1.333333333,2,1,2
2,1.333333333,2,1,2
2,2,2,1.666666667,2
2,0.666666667,2,2,2
2,0.666666667,2,2,2
2,0.333333333,2,2,2
2,1,2,2,2
2,0.666666667,2,2,2
2,2,2,2,2
2,2,2,2,2
-1,0.666666667,2,2,2
-1,1.333333333,2,2,2
1,0.666666667,2,2,2
1,2,2,2,2
0,1.333333333,2,2,2
2,2,2,2,2
2,2,2,2,2
0,1.333333333,2,1.333333333,2
2,2,2,1.333333333,2
2,-0.666666667,2,0.666666667,2
0,0.666666667,2,1,2
2,1.333333333,2,0.333333333,2
2,0.666666667,2,1,2
0,0.666666667,2,1.333333333,2
2,-0.666666667,2,1.666666667,2
2,2,2,1,2
2,1.333333333,2,1,2
2,1.333333333,2,0.666666667,2
2,-1.666666667,2,1.333333333,2
0,0,2,1.333333333,2
2,1.333333333,2,2,2
2,1,2,2,2
-1,2,2,2,2
2,-0.333333333,2,2,2
2,1,2,2,2
2,2,2,1,2
0,0.666666667,2,1,2
0,0,2,1,2
2,2,2,2,2
2,2,2,2,2
0,0.666666667,2,1.333333333,2
2,1.333333333,2,1.333333333,2
2,0.333333333,2,1.333333333,2
2,1.666666667,2,2,2
2,0.666666667,2,2,2
2,1.333333333,2,1.333333333,2
2,0.666666667,2,1.333333333,2
2,1.666666667,2,1.333333333,2
2,0,2,2,2
2,0.666666667,2,2,2
2,0,2,2,2
2,-0.666666667,2,2,2
2,-0.666666667,2,2,2
2,0.666666667,2,1.333333333,2
2,2,2,1.333333333,2
2,0.666666667,2,1,2
2,0.666666667,2,1.666666667,2
0,1.666666667,2,1.666666667,2
2,-0.666666667,2,1,2
0,-0.666666667,2,1,2
0,0,2,1,2
2,-0.666666667,2,2,2
2,2,2,2,2
2,2,2,2,2
0,0.666666667,2,2,2
2,0.666666667,2,2,2
2,0.333333333,2,1.666666667,2
2,0,2,1,2
2,0,2,0.666666667,2
1,-1.333333333,2,-0.333333333,2
2,-1,2,0.333333333,2
2,0.333333333,2,0.666666667,2
1,-0.333333333,2,2,2
2,2,2,1,2
2,0.666666667,2,1,2
2,-0.333333333,2,0.666666667,2
2,0,2,1.666666667,2
0,2,0,1.666666667,2
2,0.666666667,2,2,2
2,1.666666667,2,2,2
